s_no,start,end,file,t_0,t_1,toa,snr
1,1243394048,1243394560,[1],0.000102,0.021285,337.868896,38.031763
2,1243394496,1243395008,[1],0.000241,0.092866,63.424561,11.305445
5,1243395840,1243396352,[1],8.8e-05,0.018176,97.584229,596.362651
6,1243396288,1243396800,[1],0.000169,0.068348,274.760254,21.383898
8,1243397184,1243397696,[1],0.000203,0.008694,166.818115,15.228667
9,1243397632,1243398144,[1],0.00205,0.012544,343.125732,762.256646
10,1243398080,1243398592,"[1,2]",0.000632,0.265252,432.696289,7611.507106
11,1243398528,1243399040,[2],0.018763,0.046713,43.012695,2519.033903
12,1243398976,1243399488,[2],0.109444,0.190951,385.892334,95.842455
13,1243399424,1243399936,[2],0.000121,0.062684,111.952148,264.856696
15,1243400320,1243400832,[2],0.004579,0.01944,244.279785,378.409944
16,1243400768,1243401280,[2],0.005398,0.017357,117.625732,248.199206
20,1243402560,1243403072,[3],0.000367,0.075118,39.723877,3584.844888
21,1243403008,1243403520,[3],0.070369,0.133258,210.166748,576.107406
22,1243403456,1243403968,[3],0.001631,0.010162,61.358398,388.825701
23,1243403904,1243404416,[3],0.078712,0.110508,91.783447,21.860232
24,1243404352,1243404864,[3],0.01402,0.042492,187.376953,89.575507
26,1243405248,1243405760,[3],0.105928,0.181534,41.959961,485.307596
28,1243406144,1243406656,"[3,4]",0.025746,0.070632,238.751709,358.702066
29,1243406592,1243407104,[4],3.8e-05,0.023408,162.452881,1444.26311
31,1243407488,1243408000,[4],0.003887,0.020541,240.725098,126.087015
32,1243407936,1243408448,[4],0.027641,0.050753,297.160889,647.393372
33,1243408384,1243408896,[4],0.000163,0.011005,301.107422,721.564528
34,1243408832,1243409344,[4],0.139711,0.18272,420.106201,10.995464
35,1243409280,1243409792,[4],0.000109,0.04389,106.995361,159.909889
36,1243409728,1243410240,[4],0.044521,0.082888,306.882568,1193.010628
39,1243411072,1243411584,[5],0.000449,0.143827,28.131104,74.565099
40,1243411520,1243412032,[5],0.003679,0.01851,82.651611,882.370583
44,1243413312,1243413824,[5],0.008653,0.025859,60.977295,531.154124
45,1243413760,1243414272,[5],0.002788,0.01113,42.993896,55.737417
46,1243414208,1243414720,"[5,6]",0.00036,0.124848,374.064941,17.150389
48,1243415104,1243415616,[6],0.08917,0.18728,223.397461,343.402157
49,1243415552,1243416064,[6],0.000119,0.048621,56.1604,35.6937
51,1243416448,1243416960,[6],0.000261,0.094175,202.855225,18.170309
53,1243417344,1243417856,[6],0.000974,0.201675,235.71582,20.737746
54,1243417792,1243418304,[6],0.00801,0.02504,400.411377,43.597869
56,1243418688,1243419200,[7],4e-05,0.021672,419.351562,2147.962163
58,1243419584,1243420096,[7],0.006741,0.022486,403.028076,32.093088
60,1243420480,1243420992,[7],0.02219,0.047925,231.618896,280.886314
61,1243420928,1243421440,[7],3.7e-05,0.004347,261.706787,24.023999
64,1243422272,1243422784,"[7,8]",0.019872,0.048221,24.283447,1652.354781
65,1243422720,1243423232,[8],0.090509,0.029016,57.694092,9.373508
67,1243423616,1243424128,[8],0.000121,0.015343,353.603027,827.71519
68,1243424064,1243424576,[8],0.011131,0.030803,160.870361,1039.586195
70,1243424960,1243425472,[8],0.002019,0.014447,114.926025,747.527363
72,1243425856,1243426368,[8],4.3e-05,0.013575,40.099609,45.382318
73,1243426304,1243426816,[8],6.2e-05,0.020668,108.897705,162.729009
75,1243427200,1243427712,[9],0.014691,0.050636,61.924561,712.403857
76,1243427648,1243428160,[9],0.001595,0.013903,399.642578,469.617244
78,1243428544,1243429056,[9],0.024427,0.05033,356.406982,1245.077332
80,1243429440,1243429952,[9],0.012346,0.023912,37.859619,660.822381
82,1243430336,1243430848,[9],0.047324,0.081023,383.99292,843.008816
83,1243430784,1243431296,"[9,10]",0.032219,0.0676,273.416504,1655.110571
84,1243431232,1243431744,[10],0.0022,0.372515,203.624268,3250.321901
85,1243431680,1243432192,[10],0.004071,0.025315,296.11084,58.059679
86,1243432128,1243432640,[10],0.003906,0.016509,130.895508,5886.97651
87,1243432576,1243433088,[10],0.016829,0.032039,308.579834,180.525753
88,1243433024,1243433536,[10],0.003557,0.017767,157.861084,119.632123
89,1243433472,1243433984,[10],0.129244,0.248489,239.442139,3567.908109
91,1243434368,1243434880,[10],0.000344,0.004415,390.358154,192.315167
93,1243435264,1243435776,[11],0.042795,0.085419,5.478027,18.663178
94,1243435712,1243436224,[11],0.003689,0.012581,11.494141,34.985451
96,1243436608,1243437120,[11],6.8e-05,0.021965,281.759033,144.601511
97,1243437056,1243437568,[11],2.7e-05,0.021069,360.44043,23.48056
98,1243437504,1243438016,[11],0.013178,0.019213,115.442627,10.122787
99,1243437952,1243438464,[11],8.3e-05,0.060157,120.432861,2409.678766
102,1243439296,1243439808,[12],0.029701,0.068693,446.605713,33.186499
105,1243440640,1243441152,[12],0.00769,0.022598,73.208984,3865.836451
106,1243441088,1243441600,[12],0.001005,0.352637,359.060791,8177.885145
107,1243441536,1243442048,[12],0.000164,0.050886,309.88916,17.328938
108,1243441984,1243442496,[12],3.1e-05,0.002835,232.542969,919.205147
109,1243442432,1243442944,[12],0.00642,0.022388,356.64502,235.686865
110,1243442880,1243443392,"[12,13]",0.002411,0.011148,7.399902,13.132626
111,1243443328,1243443840,[13],0.038784,0.083061,274.459961,31.103463
112,1243443776,1243444288,[13],0.032947,0.070558,185.284912,4764.780942
113,1243444224,1243444736,[13],0.000268,0.02773,356.452393,9.782568
114,1243444672,1243445184,[13],0.02903,0.059305,314.435547,22.222468
116,1243445568,1243446080,[13],0.003148,0.013902,414.873047,68.18319
117,1243446016,1243446528,[13],0.034536,0.050808,337.669434,9.231687
118,1243446464,1243446976,[13],0.014928,0.04165,367.608154,56.236203
120,1243447360,1243447872,[14],0.000497,0.28837,303.268555,7454.410263
122,1243448256,1243448768,[14],4.7e-05,0.032671,404.57666,197.963732
124,1243449152,1243449664,[14],0.000237,0.125097,161.629883,78.868467
125,1243449600,1243450112,[14],0.017397,0.044406,290.18335,264.865028
128,1243450944,1243451456,"[14,15]",0.000292,0.08202,44.376221,1622.864483
129,1243451392,1243451904,[15],0.012656,0.033053,197.225342,1749.551947
130,1243451840,1243452352,[15],6.7e-05,0.012506,331.102295,83.244256
131,1243452288,1243452800,[15],0.000446,0.192366,435.424561,7644.759983
132,1243452736,1243453248,[15],0.017445,0.033924,178.602539,1152.750479
134,1243453632,1243454144,[15],0.000186,0.066187,122.516846,1448.675708
136,1243454528,1243455040,[15],8.6e-05,0.022104,209.84668,206.467964
137,1243454976,1243455488,[15],0.000286,0.021894,176.936035,17.566227
141,1243456768,1243457280,[16],6.9e-05,0.029212,232.348633,68.560532
143,1243457664,1243458176,[16],0.266457,0.303515,219.837402,27.222735
146,1243459008,1243459520,[16],0.000212,0.008617,139.004395,71.587805
147,1243459456,1243459968,"[16,17]",0.000369,0.144583,426.157959,44.754875
148,1243459904,1243460416,[17],0.197759,0.191117,143.919434,14.914215
149,1243460352,1243460864,[17],5e-05,0.014368,153.78833,54.973505
150,1243460800,1243461312,[17],0.004983,0.021848,337.619629,184.682551
151,1243461248,1243461760,[17],0.002764,0.014513,297.117188,222.789911
152,1243461696,1243462208,[17],9.6e-05,0.032609,311.618408,101.545561
153,1243462144,1243462656,[17],0.000146,0.072823,346.380371,167.031232
154,1243462592,1243463104,[17],0.127898,0.148517,76.024902,19.141386
155,1243463040,1243463552,[17],6.8e-05,0.023653,232.167725,79.375488
157,1243463936,1243464448,[18],1.3e-05,0.01548,170.640625,3565.137407
158,1243464384,1243464896,[18],0.001019,0.171741,357.181641,2918.501445
159,1243464832,1243465344,[18],0.000187,0.092197,225.940186,153.42143
160,1243465280,1243465792,[18],0.007239,0.024045,305.262939,130.502743
163,1243466624,1243467136,[18],0.001203,0.47086,104.923096,8097.401969
164,1243467072,1243467584,[18],0.017964,0.039474,12.880371,525.917869
165,1243467520,1243468032,"[18,19]",7.4e-05,0.034191,216.729004,48.522474
166,1243467968,1243468480,[19],4.1e-05,0.028218,408.875977,148.650262
167,1243468416,1243468928,[19],0.014363,0.032785,105.124023,21.637883
169,1243469312,1243469824,[19],0.032538,0.052046,430.766357,17.716031
170,1243469760,1243470272,[19],0.002301,0.007244,143.269775,233.299328
173,1243471104,1243471616,[19],0.035842,0.066575,277.761719,31.610414
175,1243472000,1243472512,[20],0.013716,0.033534,59.460938,16.742524
176,1243472448,1243472960,[20],0.000254,0.00905,224.089844,406.833997
177,1243472896,1243473408,[20],0.005032,0.021382,95.482178,949.633121
179,1243473792,1243474304,[20],0.004408,0.015627,414.694336,1826.357964
180,1243474240,1243474752,[20],0.011162,0.031229,46.873535,161.536563
184,1243476032,1243476544,[21],0.060526,0.124064,438.027832,324.553203
185,1243476480,1243476992,[21],0.00345,0.017872,241.035156,482.486399
187,1243477376,1243477888,[21],0.00019,0.087509,445.516357,252.665256
190,1243478720,1243479232,[21],0.015801,0.029568,28.926025,11.661916
191,1243479168,1243479680,[21],0.004692,0.021971,86.992188,370.3642
192,1243479616,1243480128,"[21,22]",0.029991,0.067938,235.508057,2024.363857
193,1243480064,1243480576,[22],0.00036,0.104441,329.287109,32.142233
194,1243480512,1243481024,[22],0.003091,0.017125,347.976318,2376.623076
195,1243480960,1243481472,[22],7.9e-05,0.027361,305.772217,584.332353
196,1243481408,1243481920,[22],7.8e-05,0.037453,260.008545,128.596276
197,1243481856,1243482368,[22],8.8e-05,0.049747,48.071533,19.809985
199,1243482752,1243483264,[22],7.2e-05,0.029876,408.804199,43.213081
200,1243483200,1243483712,[22],0.000102,0.063368,65.24585,4079.301232
201,1243483648,1243484160,[22],0.003895,0.026804,293.866455,282.665729
202,1243484096,1243484608,"[22,23]",0.000185,0.00273,204.825684,2639.994888
204,1243484992,1243485504,[23],0.003252,0.015858,308.827393,798.954479
205,1243485440,1243485952,[23],0.007732,0.02385,258.647217,887.168224
207,1243486336,1243486848,[23],0.000263,0.198128,292.128662,216.260917
208,1243486784,1243487296,[23],3.8e-05,0.018307,406.507324,6608.778624
209,1243487232,1243487744,[23],7.8e-05,0.027338,145.005859,77.596845
210,1243487680,1243488192,[23],0.620317,1.446386,378.355713,369.52233
211,1243488128,1243488640,"[23,24]",9.7e-05,0.013478,404.00415,386.043996
212,1243488576,1243489088,[24],5.3e-05,0.02896,250.815674,28.600353
214,1243489472,1243489984,[24],0.000115,0.004421,292.905029,4198.690693
216,1243490368,1243490880,[24],0.021476,0.044767,39.149902,4477.589278
217,1243490816,1243491328,[24],0.022181,0.047334,289.160645,518.548357
220,1243492160,1243492672,"[24,25]",0.07385,0.085418,433.35498,865.979711
222,1243493056,1243493568,[25],0.032745,0.064925,5.074219,245.201016
223,1243493504,1243494016,[25],0.022177,0.042347,162.703369,472.817135
224,1243493952,1243494464,[25],0.000408,0.00833,122.418457,50.793213
225,1243494400,1243494912,[25],0.001099,0.011066,48.251221,536.414504
228,1243495744,1243496256,[25],0.015801,0.036452,404.005615,1196.721905
229,1243496192,1243496704,"[25,26]",0.004339,0.020021,421.910889,1201.897312
230,1243496640,1243497152,[26],6.1e-05,0.041576,234.731445,8086.477841
231,1243497088,1243497600,[26],0.151344,0.148296,275.775391,38.017323
232,1243497536,1243498048,[26],0.000669,0.009323,23.472168,365.92156
233,1243497984,1243498496,[26],0.060829,0.098281,259.95752,659.458062
234,1243498432,1243498944,[26],0.002239,0.020957,380.982178,24.066356
235,1243498880,1243499392,[26],0.000153,0.046919,143.114014,5251.48045
236,1243499328,1243499840,[26],0.018486,0.042753,246.091064,2425.534992
237,1243499776,1243500288,[26],0.000706,0.07459,88.447998,43.783354
238,1243500224,1243500736,"[26,27]",9.7e-05,0.017298,347.161133,136.260423
240,1243501120,1243501632,[27],0.002365,0.01596,254.158447,183.963994
241,1243501568,1243502080,[27],0.001415,0.008041,380.42041,11.301093
243,1243502464,1243502976,[27],0.108778,0.172963,7.983643,84.372087
244,1243502912,1243503424,[27],3.8e-05,0.007323,400.848145,98.269464
245,1243503360,1243503872,[27],0.00014,0.033238,328.196777,385.710352
246,1243503808,1243504320,[27],0.008489,0.025352,436.795166,59.837769
247,1243504256,1243504768,"[27,28]",0.029852,0.062185,154.719727,180.924451
248,1243504704,1243505216,[28],0.017533,0.035525,227.755371,51.101897
249,1243505152,1243505664,[28],0.005235,0.020844,375.202637,20.01902
250,1243505600,1243506112,[28],2.3e-05,0.014608,190.326416,20.524081
252,1243506496,1243507008,[28],0.054373,0.102865,308.942627,384.77885
254,1243507392,1243507904,[28],0.000265,0.093314,371.984375,15.836093
255,1243507840,1243508352,[28],0.000212,0.049064,53.766846,16.585631
256,1243508288,1243508736,[28],0.018092,0.038891,117.840332,20.204923
260,1258632512,1258633024,[29],4.1e-05,0.002149,75.038818,1861.34341
261,1258632960,1258633472,[29],0.006064,0.023982,358.515625,195.880747
262,1258633408,1258633920,[29],0.000148,0.067197,135.856934,92.888498
264,1258634304,1258634816,[29],0.000182,0.029412,308.848877,849.626889
265,1258634752,1258635264,[29],0.000925,0.008869,0.301025,22.212562
267,1258635648,1258636160,[30],9.9e-05,0.03067,71.303223,20.224167
268,1258636096,1258636608,[30],0.003275,0.014994,335.049316,3952.02042
269,1258636544,1258637056,[30],4.8e-05,0.036084,311.355713,270.933384
271,1258637440,1258637952,[30],0.004389,0.016368,171.650146,62.436775
272,1258637888,1258638400,[30],0.019663,0.058318,255.245361,2618.146313
274,1258638784,1258639296,[30],0.000436,0.076451,283.078369,10.788109
276,1258639680,1258640192,[31],0.000255,0.073098,435.355225,511.740184
277,1258640128,1258640640,[31],8e-05,0.038305,384.333496,86.342458
279,1258641024,1258641536,[31],0.595183,0.51247,236.275146,9.938262
280,1258641472,1258641984,[31],0.108917,0.21393,70.710693,10.54241
281,1258641920,1258642432,[31],0.000135,0.055327,229.498535,5360.841105
282,1258642368,1258642880,[31],0.00045,0.003304,136.269531,4495.632231
284,1258643264,1258643776,"[31,32]",0.037962,0.063412,347.065918,18.328018
285,1258643712,1258644224,[32],0.02133,0.050909,309.627197,2355.617346
288,1258645056,1258645568,[32],0.00024,0.120285,137.265381,1530.701442
290,1258645952,1258646464,[32],0.005349,0.026832,182.099121,921.43984
291,1258646400,1258646912,[32],0.004117,0.015169,189.122314,32.075356
292,1258646848,1258647360,[32],6.7e-05,0.045033,384.145996,62.457023
293,1258647296,1258647808,"[32,33]",0.000233,0.072015,305.153809,9.340695
295,1258648192,1258648704,[33],2.56453,1.903778,190.452393,9.988113
296,1258648640,1258649152,[33],0.003586,0.017696,233.829834,6520.609499
297,1258649088,1258649600,[33],0.121271,0.20908,280.445557,15.376965
303,1258651776,1258652288,[34],6.3e-05,0.039438,80.030518,1667.968197
305,1258652672,1258653184,[34],0.055414,0.06413,9.809082,15.425813
306,1258653120,1258653632,[34],0.000199,0.011343,169.912598,615.454332
307,1258653568,1258654080,[34],0.000449,0.105579,215.713623,17.459506
308,1258654016,1258654528,[34],0.043796,0.077211,357.854004,14.701151
309,1258654464,1258654976,[34],0.000371,0.007082,164.956299,66.592679
311,1258655360,1258655872,"[34,35]",3.3e-05,0.035563,71.681396,80.122457
312,1258655808,1258656320,[35],7.9e-05,0.041905,94.974854,432.026004
313,1258656256,1258656768,[35],0.000413,0.010217,158.157471,1049.767585
314,1258656704,1258657216,[35],0.000437,0.056616,149.418213,270.556078
315,1258657152,1258657664,[35],0.009102,0.025292,53.898926,24.349121
316,1258657600,1258658112,[35],0.00034,0.009274,253.763672,3435.970178
317,1258658048,1258658560,[35],0.000395,0.009632,276.067383,73.769329
319,1258658944,1258659456,[35],0.000225,0.002283,46.497314,40.719124
322,1258660288,1258660800,[36],1.70701,0.092095,153.050049,10.241282
325,1258661632,1258662144,[36],5e-05,0.027707,287.489746,16.839406
326,1258662080,1258662592,[36],1.6e-05,0.016057,156.699219,1515.29781
327,1258662528,1258663040,[36],2.602037,0.646477,401.281006,10.80327
328,1258662976,1258663488,[36],0.014381,0.029423,23.487549,16.622935
329,1258663424,1258663936,[36],0.061684,0.092995,425.883301,786.763419
331,1258664320,1258664832,[37],0.029598,0.041568,360.305664,18.345862
332,1258664768,1258665280,[37],0.068191,0.116459,125.85791,189.772384
333,1258665216,1258665728,[37],0.000181,0.04878,427.490479,2052.455806
334,1258665664,1258666176,[37],9.4e-05,0.007196,151.809814,267.672877
336,1258666560,1258667072,[37],2.216074,1.004604,49.275879,11.034198
337,1258667008,1258667520,[37],0.006787,0.025875,186.894043,9.639467
339,1258667904,1258668416,"[37,38]",0.019159,0.07494,129.537354,90.640403
340,1258668352,1258668864,[38],1.335652,0.773892,239.706055,9.098423
342,1258669248,1258669760,[38],0.008012,0.027909,34.063721,396.984347
344,1258670144,1258670656,[38],0.004093,0.019681,312.9646,524.273021
345,1258670592,1258671104,[38],0.013108,0.030956,296.592529,27.374817
346,1258671040,1258671552,[38],0.000113,0.044425,274.137695,9.830255
347,1258671488,1258672000,[38],0.000132,0.04628,134.938965,117.864765
348,1258671936,1258672448,"[38,39]",0.007075,0.026518,137.815674,30.212252
350,1258672832,1258673344,[39],0.00078,0.004499,235.773193,7806.444454
353,1258674176,1258674688,[39],1.2e-05,0.008254,230.127686,172.07591
355,1258675072,1258675584,[39],0.000194,0.025511,130.651611,10.966697
356,1258675520,1258676032,[39],0.020333,0.03287,13.739258,14.464981
357,1258675968,1258676480,"[39,40]",0.000118,0.014059,159.38623,33.866747
360,1258677312,1258677824,[40],6.1e-05,0.022296,72.861084,2363.199755
361,1258677760,1258678272,[40],0.034138,0.093849,246.083008,106.985109
362,1258678208,1258678720,[40],0.045369,0.06662,412.881592,107.515222
363,1258678656,1258679168,[40],0.07943,0.09752,63.440186,9.226532
364,1258679104,1258679616,[40],0.056194,0.063334,320.833252,9.241674
365,1258679552,1258680064,[40],2.914671,1.999989,67.501465,10.110432
368,1258680896,1258681408,[41],0.023029,0.068309,40.968018,3734.624655
370,1258681792,1258682304,[41],0.000127,0.072446,264.780518,116.071551
373,1258683136,1258683648,[41],1e-05,0.010238,282.24707,1173.659369
375,1258684032,1258684544,"[41,42]",0.003749,0.018778,45.606201,187.941575
378,1258685376,1258685888,[42],0.044832,0.081623,169.554443,77.075294
381,1258686720,1258687232,[42],0.004139,0.02095,199.256104,7130.355731
382,1258687168,1258687680,[42],0.010148,0.023535,145.640625,39.140069
384,1258688064,1258688576,"[42,43]",0.051678,0.08888,265.132812,34.489821
386,1258688960,1258689472,[43],0.006874,0.022206,1.991699,3003.488286
387,1258689408,1258689920,[43],0.01319,0.029253,93.047119,42.020142
394,1258692544,1258693056,"[43,44]",7.7e-05,0.009561,282.659668,1573.851432
395,1258692992,1258693504,[44],0.00207,0.012575,43.580566,145.459369
397,1258693888,1258694400,[44],8e-06,0.009664,311.023193,438.670929
399,1258694784,1258695296,[44],0.000338,0.127759,304.794189,6497.523727
403,1258696576,1258697088,"[44,45]",1.9e-05,0.012676,143.274414,156.913569
404,1258697024,1258697536,[45],6.9e-05,0.031429,266.459717,1075.910645
406,1258697920,1258698432,[45],0.000578,0.008958,414.159912,78.686932
408,1258698816,1258699328,[45],0.061013,0.118051,300.74585,249.363243
409,1258699264,1258699776,[45],6.9e-05,0.010941,152.213867,29.690113
412,1258700608,1258701120,"[45,46]",0.000802,0.347094,355.853027,59.709714
414,1258701504,1258702016,[46],0.000462,0.149884,53.566162,1324.481474
415,1258701952,1258702464,[46],0.0169,0.033771,260.471436,22.035472
418,1258703296,1258703808,[46],1.4e-05,0.009181,334.011475,473.015498
419,1258703744,1258704256,[46],0.197701,0.386512,56.155518,12.99483
420,1258704192,1258704704,[46],0.013877,0.026899,424.930664,20.295617
424,1258705984,1258706496,[47],0.055269,0.119493,109.801025,19.950446
425,1258706432,1258706944,[47],0.033783,0.067622,382.243896,174.135891
427,1258707328,1258707840,[47],0.001129,0.003635,221.462158,3821.397859
430,1258708672,1258709184,"[47,48]",0.000279,0.118723,440.547119,6278.775213
432,1258709568,1258710080,[48],2.5e-05,0.017598,355.110596,2933.378955
433,1258710016,1258710528,[48],0.001454,0.011518,275.691162,443.642385
435,1258710912,1258711424,[48],8e-06,0.016378,184.188477,6421.001301
437,1258711808,1258712320,[48],0.000176,0.076798,20.312988,23.441086
439,1258712704,1258713216,"[48,49]",0.00037,0.08219,220.651611,152.905146
442,1258714048,1258714560,[49],0.000108,0.050512,69.772949,1876.053998
444,1258714944,1258715456,[49],0.007889,0.027469,405.362793,2442.127518
447,1258716288,1258716800,[49],0.000154,0.075467,265.800781,873.867207
449,1258717184,1258717696,[50],0.041773,0.083157,142.766113,62.700239
451,1258718080,1258718592,[50],5.4e-05,0.03887,368.94873,2512.339353
452,1258718528,1258719040,[50],0.006263,0.008383,401.117188,9.57026
454,1258719424,1258719936,[50],0.000327,0.018589,340.465576,1667.583352
457,1258720768,1258721280,[50],0.006741,0.022479,347.294434,1571.24903
460,1258722112,1258722624,[51],0.000461,0.180164,327.296875,145.196455
461,1258722560,1258723072,[51],0.000211,0.075018,36.360352,359.168949
463,1258723456,1258723968,[51],0.0005,0.169833,29.989502,49.68123
468,1258725696,1258726208,[52],0.008362,0.028786,11.452637,5095.367523
470,1258726592,1258727104,[52],0.091244,0.077217,234.368408,10.243314
471,1258727040,1258727552,[52],5.3e-05,0.026947,295.355225,206.420068
473,1258727936,1258728448,[52],0.000418,0.008811,243.977783,127.518794
474,1258728384,1258728896,[52],0.049191,0.068645,324.182617,58.410483
476,1258729280,1258729792,"[52,53]",0.01487,0.03296,82.579834,543.255608
478,1258730176,1258730688,[53],0.013283,0.037196,351.812744,4502.651838
480,1258731072,1258731584,[53],0.000468,0.298241,230.984863,5040.031861
481,1258731520,1258732032,[53],0.006107,0.021167,387.380371,124.251856
482,1258731968,1258732480,[53],0.01816,0.036102,422.101074,9.815539
483,1258732416,1258732928,[53],9.7e-05,0.035493,421.572754,334.7104
486,1258733760,1258734272,[54],0.054596,0.13411,399.074463,138.792401
487,1258734208,1258734720,[54],0.000765,0.009297,120.238525,241.928439
489,1258735104,1258735616,[54],0.004191,0.02341,410.855469,199.663353
490,1258735552,1258736064,[54],0.009034,0.023013,300.719727,714.244757
491,1258736000,1258736512,[54],0.000972,0.015487,64.409424,97.766811
492,1258736448,1258736960,[54],0.000881,0.004306,267.178223,971.360842
496,1258738240,1258738752,[55],0.159862,0.261458,178.839355,29.974498
497,1258738688,1258739200,[55],6.3e-05,0.025598,414.171143,418.322429
498,1258739136,1258739648,[55],0.010578,0.032399,134.120117,610.957066
499,1258739584,1258740096,[55],0.033027,0.059623,368.850342,2315.618076
501,1258740480,1258740992,[55],0.004004,0.020856,162.449707,5557.04307
502,1258740928,1258741440,[55],0.203102,0.227437,117.830322,425.838023
504,1258741824,1258742336,[56],0.008372,0.026793,381.763672,2898.118591
506,1258742720,1258743232,[56],0.047985,0.092921,384.750488,4638.674435
508,1258743616,1258744128,[56],0.000261,0.096674,218.948242,13.75802
510,1258744512,1258745024,[56],0.013626,0.029534,221.530029,53.570729
512,1258745408,1258745920,"[56,57]",0.020344,0.041115,342.421387,18.686868
515,1258746752,1258747264,[57],0.001862,0.008666,296.644043,11.379375
516,1258747200,1258747712,[57],0.00623,0.014707,245.9104,16.684366
517,1258747648,1258748160,[57],1.754862,0.606431,145.348145,9.127691
518,1258748096,1258748608,[57],4e-05,0.033771,272.780518,1230.283759
519,1258748544,1258749056,[57],0.005879,0.018607,216.383789,246.565969
526,1127003904,1127004416,[58],0.099816,0.079296,151.823242,556.310889
527,1127004352,1127004864,[58],0.013649,0.030437,124.958984,10.087581
528,1127004800,1127005312,[58],0.023832,0.053067,287.041748,164.799351
533,1127007040,1127007552,[59],0.000146,0.066513,445.782227,13.184892
539,1127009728,1127010240,[59],0.01104,0.036861,7.769531,13.902575
540,1127010176,1127010688,"[59,60]",0.000452,0.0035,124.966309,99.820619
543,1127011520,1127012032,[60],0.084754,0.067027,294.671143,3082.807611
546,1127012864,1127013376,[60],0.00058,0.151064,398.533203,51.363466
550,1127014656,1127015168,[61],0.040312,0.041631,238.229736,89.150218
553,1127016000,1127016512,[61],0.001361,0.026904,115.655762,128.05262
559,1127018688,1127019200,[62],9.7e-05,0.056438,323.309814,14401.745943
568,1127022720,1127023232,[63],0.000412,0.119754,228.545654,2201.804159
574,1127025408,1127025920,[63],0.009422,0.034898,144.592041,19.812004
576,1127026304,1127026816,"[63,64]",0.002014,0.02651,434.248535,98.748907
583,1127029440,1127029952,[64],0.067041,0.126145,308.966797,16.18307
598,1127036160,1127036672,[66],0.00319,0.028392,360.323975,10.275761
600,1127037056,1127037568,[66],0.01078,0.038619,12.039307,13.16144
605,1127039296,1127039808,[67],0.003749,0.01872,441.422607,51.68281
612,1127042432,1127042944,[67],0.020965,0.044034,289.071045,147.410415
618,1127045120,1127045632,[68],0.199675,0.209046,366.50708,9.343109
620,1127046016,1127046528,[68],66.604434,0.578396,346.598877,9.270898
621,1127046464,1127046976,[68],20.96736,0.538404,307.826416,9.436061
623,1171222528,1171223040,[69],0.000185,0.036502,287.499023,143.798922
624,1171222976,1171223488,[69],0.000258,0.095388,63.858643,134.261526
627,1171224320,1171224832,[69],0.000542,0.195778,389.955078,2683.828144
629,1171225216,1171225728,[69],0.000146,0.010197,304.574219,419.823482
630,1171225664,1171226176,[69],0.053608,0.074656,106.753906,9.103385
635,1171227904,1171228416,[70],0.073855,0.113373,0.028809,9.472335
